"Subject", "主題"
"Content", "內容"
"Template", "模版"
"Template Id", "模版 Id"
"Template name", "模版名稱"
"Message Centre", "訊息中心"
"Message Information", "訊息資訊"
"CRM message couldn't be sent to the client", "客戶關係管理系統訊息無法送出給客戶"
"CRM template couldn't be saved to the database", "客戶關係管理模版無法儲存資料到資料庫"
"CRM template has succesfully been saved to the database", "客戶關係管理模版成功地儲存資料到資料庫"
"CRM template couldn't be deleted from the database", "客戶關係管理模版無法到資料庫刪除資料"
"CRM template has been succesfully deleted from the database", "客戶關係管理模版成功地到資料庫刪除資料"
"CRM template name allready exists", "客戶關係管理模版已經存在"
"Refresh Page", "刷新網頁"
"Load Template", "載入模版"
"Save Template", "儲存模版"
"Delete Template", "刪除模版"
"Save as New Template", "儲存為新的模板"
"Load default Message", "載入預設訊息"
"Show / Hide Editor", "顯示/隱藏 編輯器"
"The CRM module is part of the Cart2Quote Enterprise version. <a href='%s' target='blank'>Upgrade or change to a paid plan</a> to unlock more features", "客戶關係管理模組是Cart2Quote企業版本內含的功能. <a href='%s' target='blank'>更新 或 購買付費的版本</a> 去獲得更多的功能"
"To use the CRM module of Cart2Quote and send messages to your customers <a href='%s' target='blank'>upgrade</a> to Cart2Quote Enterprise", "使用Cart2Quote客戶關係管理模組傳送訊息給客戶 <a href='%s' target='blank'>更新</a> 到Cart2Quote企業版"
