"Subject", "主题"
"Content", "内容"
"Template", "模版"
"Template Id", "模版 Id"
"Template name", "模版名称"
"Message Centre", "讯息中心"
"Message Information", "讯息信息"
"CRM message couldn't be sent to the client", "客户关系管理系统讯息无法送出给客户"
"CRM template couldn't be saved to the database", "客户关系管理模版无法储存数据到数据库"
"CRM template has succesfully been saved to the database", "客户关系管理模版成功地储存数据到数据库"
"CRM template couldn't be deleted from the database", "客户关系管理模版无法到数据库删除数据"
"CRM template has been succesfully deleted from the database", "客户关系管理模版成功地到数据库删除数据"
"CRM template name allready exists", "客户关系管理模版已经存在"
"Refresh Page", "刷新网页"
"Load Template", "载入模版"
"Save Template", "储存模版"
"Delete Template", "删除模版"
"Save as New Template", "储存为新的模板"
"Load default Message", "加载默认讯息"
"Show / Hide Editor", "显示/隐藏 编辑器"
"The CRM module is part of the Cart2Quote Enterprise version. <a href='%s' target='blank'>Upgrade or change to a paid plan</a> to unlock more features", "客户关系管理模块是Cart2Quote企业版本内含的功能. <a href='%s' target='blank'>更新 或 购买付费的版本</a> 去获得更多的功能"
"To use the CRM module of Cart2Quote and send messages to your customers <a href='%s' target='blank'>upgrade</a> to Cart2Quote Enterprise", "使用Cart2Quote客户关系管理模块传送讯息给客户 <a href='%s' target='blank'>更新</a> 到Cart2Quote企业版"
